title,rating,year,genre,director
Raging Bull,8.1,,"B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a|,| |S|p|o|r|t",
Trainspotting,8.1,,D|r|a|m|a,
The Bridge on the River Kwai,8.1,,"A|d|v|e|n|t|u|r|e|,| |D|r|a|m|a|,| |W|a|r",
Kimetsu no Yaiba: Tsuzumi Yashiki-hen,8.8,,"A|n|i|m|a|t|i|o|n|,| |A|c|t|i|o|n|,| |F|a|n|t|a|s|y",
Catch Me If You Can,8.1,,"B|i|o|g|r|a|p|h|y|,| |C|r|i|m|e|,| |D|r|a|m|a",
Fargo,8.1,,"C|r|i|m|e|,| |D|r|a|m|a|,| |T|h|r|i|l|l|e|r",
Warrior,8.1,,"A|c|t|i|o|n|,| |D|r|a|m|a|,| |S|p|o|r|t",
Spider-Man: No Way Home,8.2,,"A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |F|a|n|t|a|s|y",
Gran Torino,8.1,,D|r|a|m|a,
Harry Potter and the Deathly Hallows - Part 2,8.1,,"A|d|v|e|n|t|u|r|e|,| |F|a|m|i|l|y|,| |F|a|n|t|a|s|y",
Million Dollar Baby,8.1,,"D|r|a|m|a|,| |S|p|o|r|t",
Tonari no Totoro,8.1,,"A|n|i|m|a|t|i|o|n|,| |C|o|m|e|d|y|,| |F|a|m|i|l|y",
Mad Max: Fury Road,8.1,,"A|c|t|i|o|n|,| |A|d|v|e|n|t|u|r|e|,| |S|c|i|-|F|i",
Ben-Hur,8.1,,"A|d|v|e|n|t|u|r|e|,| |D|r|a|m|a",
Bacheha-ye aseman,8.2,,"D|r|a|m|a|,| |F|a|m|i|l|y|,| |S|p|o|r|t",
Barry Lyndon,8.1,,"A|d|v|e|n|t|u|r|e|,| |D|r|a|m|a|,| |W|a|r",
12 Years a Slave,8.1,,"B|i|o|g|r|a|p|h|y|,| |D|r|a|m|a|,| |H|i|s|t|o|r|y",
Blade Runner,8.1,,"A|c|t|i|o|n|,| |D|r|a|m|a|,| |S|c|i|-|F|i",
Before Sunrise,8.1,,"D|r|a|m|a|,| |R|o|m|a|n|c|e",
The Grand Budapest Hotel,8.1,,"A|d|v|e|n|t|u|r|e|,| |C|o|m|e|d|y|,| |C|r|i|m|e",
